Order ID,Customer ID,Order Date,Category,Region,Sales Amount
ORD_000001,CUST_0001,2024-03-11,Grocery,East,7159.11
ORD_000002,CUST_0001,2023-09-28,Electronics,West,2571.57
ORD_000003,CUST_0001,2023-04-17,Grocery,South,1317.97
ORD_000004,CUST_0001,2023-03-13,Home,West,14109.01
ORD_000005,CUST_0001,2023-01-21,Fashion,West,14887.07
ORD_000006,CUST_0001,2024-09-06,Electronics,West,9368.97
ORD_000007,CUST_0001,2023-05-02,Electronics,West,834.41
ORD_000008,CUST_0001,2024-04-11,Grocery,East,6297.98
ORD_000009,CUST_0002,2023-07-09,Home,South,12221.76
ORD_000010,CUST_0002,2024-07-16,Electronics,South,1916.25
ORD_000011,CUST_0002,2024-07-20,Home,West,6882.21
ORD_000012,CUST_0002,2023-09-01,Grocery,West,7680.07
ORD_000013,CUST_0002,2024-05-19,Grocery,East,13685.15
ORD_000014,CUST_0002,2023-05-11,Home,South,10106.57
ORD_000015,CUST_0002,2024-04-29,Fashion,South,8040.99
ORD_000016,CUST_0002,2024-10-08,Fashion,West,3180.39
ORD_000017,CUST_0002,2023-01-21,Grocery,South,11739.43
ORD_000018,CUST_0002,2023-06-16,Fashion,South,13475.0
ORD_000019,CUST_0002,2023-10-01,Fashion,East,13867.18
ORD_000020,CUST_0002,2024-01-23,Home,South,3341.75
ORD_000021,CUST_0002,2024-08-23,Electronics,South,5217.29
ORD_000022,CUST_0003,2023-12-04,Home,East,12324.19
ORD_000023,CUST_0003,2023-02-22,Electronics,West,11070.6
ORD_000024,CUST_0003,2023-08-05,Electronics,East,1573.65
ORD_000025,CUST_0003,2023-07-07,Grocery,South,2180.1
ORD_000026,CUST_0003,2024-01-15,Grocery,North,9537.82
ORD_000027,CUST_0003,2024-05-07,Fashion,North,1421.6
ORD_000028,CUST_0003,2023-02-10,Grocery,South,5215.16
ORD_000029,CUST_0003,2023-06-06,Grocery,West,9744.58
ORD_000030,CUST_0003,2023-01-15,Grocery,East,7347.12
ORD_000031,CUST_0003,2023-03-06,Electronics,East,10842.05
ORD_000032,CUST_0003,2024-06-04,Electronics,North,8638.52
ORD_000033,CUST_0003,2023-12-10,Grocery,South,7660.04
ORD_000034,CUST_0003,2023-05-09,Electronics,East,6699.34
ORD_000035,CUST_0003,2024-10-09,Fashion,West,2064.43
ORD_000036,CUST_0004,2023-08-29,Electronics,West,14171.38
ORD_000037,CUST_0004,2024-07-17,Grocery,East,10574.38
ORD_000038,CUST_0004,2023-04-06,Home,South,9553.13
ORD_000039,CUST_0004,2024-04-29,Fashion,North,2029.67
ORD_000040,CUST_0004,2024-02-11,Home,West,3667.39
ORD_000041,CUST_0004,2023-08-19,Home,South,13307.56
ORD_000042,CUST_0004,2024-10-16,Home,South,2270.28
ORD_000043,CUST_0004,2023-06-20,Electronics,East,13649.01
ORD_000044,CUST_0005,2024-01-12,Fashion,North,12361.21
ORD_000045,CUST_0005,2023-10-10,Electronics,East,600.81
ORD_000046,CUST_0006,2024-02-15,Electronics,West,5772.63
ORD_000047,CUST_0006,2024-10-10,Electronics,South,14455.49
ORD_000048,CUST_0006,2023-11-14,Fashion,East,7710.1
ORD_000049,CUST_0006,2023-08-13,Electronics,North,4630.19
ORD_000050,CUST_0006,2023-08-22,Electronics,East,9338.68
ORD_000051,CUST_0006,2024-10-25,Fashion,West,1246.44
ORD_000052,CUST_0006,2024-01-09,Electronics,West,13669.86
ORD_000053,CUST_0006,2024-08-30,Grocery,South,2600.98
ORD_000054,CUST_0006,2024-04-16,Home,South,14791.93
ORD_000055,CUST_0007,2024-03-14,Fashion,South,8268.73
ORD_000056,CUST_0007,2023-07-22,Home,West,12611.89
ORD_000057,CUST_0007,2023-07-03,Home,East,3204.52
ORD_000058,CUST_0007,2023-05-03,Electronics,East,9067.95
ORD_000059,CUST_0007,2024-02-05,Grocery,West,740.52
ORD_000060,CUST_0007,2023-10-21,Grocery,East,3784.19
ORD_000061,CUST_0007,2023-10-07,Home,East,3028.31
ORD_000062,CUST_0007,2024-09-01,Electronics,West,6107.66
ORD_000063,CUST_0008,2024-10-02,Grocery,South,10588.87
ORD_000064,CUST_0008,2024-04-17,Grocery,West,3036.85
ORD_000065,CUST_0008,2023-05-31,Home,North,7991.22
ORD_000066,CUST_0009,2023-01-02,Fashion,West,8595.26
ORD_000067,CUST_0009,2023-10-31,Home,East,3236.25
ORD_000068,CUST_0010,2023-04-09,Electronics,West,11887.44
ORD_000069,CUST_0010,2024-10-20,Home,West,8919.96
ORD_000070,CUST_0010,2023-07-27,Home,South,14131.93
ORD_000071,CUST_0010,2023-05-11,Electronics,North,4616.85
ORD_000072,CUST_0010,2024-02-08,Fashion,South,7541.4
ORD_000073,CUST_0010,2023-06-01,Grocery,West,14919.63
ORD_000074,CUST_0010,2023-02-23,Home,North,762.09
ORD_000075,CUST_0010,2023-04-30,Fashion,North,3092.93
ORD_000076,CUST_0010,2024-09-19,Home,West,11290.47
ORD_000077,CUST_0010,2024-08-09,Grocery,North,4966.88
ORD_000078,CUST_0011,2024-04-14,Fashion,North,8865.11
ORD_000079,CUST_0011,2024-01-10,Home,North,3331.02
ORD_000080,CUST_0011,2023-01-22,Electronics,West,4571.2
ORD_000081,CUST_0011,2024-10-31,Grocery,West,9859.35
ORD_000082,CUST_0011,2023-02-07,Electronics,West,14136.65
ORD_000083,CUST_0011,2023-08-18,Electronics,South,13765.53
ORD_000084,CUST_0011,2023-12-31,Grocery,West,724.12
ORD_000085,CUST_0011,2024-07-16,Home,North,6708.67
ORD_000086,CUST_0011,2024-03-13,Electronics,East,14472.49
ORD_000087,CUST_0011,2023-10-10,Electronics,West,4769.51
ORD_000088,CUST_0011,2023-01-27,Electronics,West,12841.48
ORD_000089,CUST_0011,2023-08-14,Home,East,2957.64
ORD_000090,CUST_0011,2023-10-04,Electronics,South,14074.24
ORD_000091,CUST_0012,2023-11-19,Home,East,4757.08
